epoch,train_loss,focal_loss,center_loss,val_accuracy,val_f1,early_exit_pct,time_sec
1,0.2052161725454552,0.20096063430226127,0.4255538069924643,0.9319687446916936,0.9041770932773076,81.24681501613725,14.498783111572266
2,0.06550115563495215,0.06415314391948455,0.13480118949745976,0.9478087311024291,0.9244182105760582,95.53677594700187,12.998558282852173
3,0.04960652845370215,0.04905395765983781,0.05525708859569805,0.95281977237982,0.9365691145306415,96.53049091217937,13.880418062210083
4,0.046380531822526175,0.04598257836214332,0.039795345085304835,0.9525649736708001,0.9427575578004733,97.50297265160523,13.345301151275635
5,0.04221496757899606,0.042101600341672124,0.011336711748654759,0.9537115678613896,0.9388468351829987,97.90215729573637,13.250020265579224
6,0.03908872869472171,0.039025032511630725,0.0063696195263155675,0.9518005775437405,0.9399090228619612,97.84695090878206,13.000441789627075
7,0.042096471206046815,0.04200821168027645,0.008825951129154757,0.9569814846271446,0.9481360631929702,97.85544419908273,13.086164951324463
8,0.038170840201336285,0.03814069466708705,0.0030145632709528123,0.9543060981824358,0.9446650308755077,97.92763716663836,13.287625074386597
9,0.036702768660561984,0.03667943381466145,0.002333479980006814,0.9590198742993036,0.9497526408585022,98.03380329539664,13.263865232467651
10,0.03716691395397796,0.03713779774342858,0.002911619745129936,0.941141498216409,0.9293528395467735,98.11448955325292,13.95807695388794
11,0.03784303350677324,0.037815774266802986,0.002725929311519965,0.9549855614064888,0.9434746102691418,97.92763716663836,13.570237159729004
12,0.03626327129990556,0.03624014991313912,0.0023121432412069203,0.9550704943094955,0.9430458207442124,98.06352981144896,13.058202028274536
